trial,prompt,passed,total_calls,unnecessary_calls,expected_calls,true_positives,false_positives,false_negatives,precision,recall,f1_score
0,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,17,15,15,2,15,13,0.11764705882352941,0.13333333333333333,0.125
1,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,21,18,15,3,18,12,0.14285714285714285,0.2,0.16666666666666666
2,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,10,0,15,10,0,5,1.0,0.6666666666666666,0.8
3,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,8,0,15,8,0,7,1.0,0.5333333333333333,0.6956521739130436
4,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,5,0,15,5,0,10,1.0,0.3333333333333333,0.5
5,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",1,23,8,15,15,8,0,0.6521739130434783,1.0,0.7894736842105263
6,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
7,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,25,12,15,13,12,2,0.52,0.8666666666666667,0.65
8,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,9,0,15,9,0,6,1.0,0.6,0.7499999999999999
9,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami, phoenix, portland, san francisco, atlanta, dallas",0,7,0,15,7,0,8,1.0,0.4666666666666667,0.6363636363636364
