trial,prompt,passed,total_calls,unnecessary_calls,expected_calls,true_positives,false_positives,false_negatives,precision,recall,f1_score
0,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,23,20,10,3,20,7,0.13043478260869565,0.3,0.18181818181818182
1,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,7,0,10,7,0,3,1.0,0.7,0.8235294117647058
2,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,7,0,10,7,0,3,1.0,0.7,0.8235294117647058
3,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,7,0,10,7,0,3,1.0,0.7,0.8235294117647058
4,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
5,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,12,2,10,10,2,0,0.8333333333333334,1.0,0.9090909090909091
6,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
7,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,6,0,10,6,0,4,1.0,0.6,0.7499999999999999
8,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,6,0,10,6,0,4,1.0,0.6,0.7499999999999999
9,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,6,0,10,6,0,4,1.0,0.6,0.7499999999999999
