trial,prompt,passed,total_calls,unnecessary_calls,expected_calls,true_positives,false_positives,false_negatives,precision,recall,f1_score
0,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
1,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,25,16,10,9,16,1,0.36,0.9,0.5142857142857143
2,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,5,3,10,2,3,8,0.4,0.2,0.26666666666666666
3,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,13,10,10,3,10,7,0.23076923076923078,0.3,0.2608695652173913
4,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,4,0,10,4,0,6,1.0,0.4,0.5714285714285715
5,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
6,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
7,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,20,15,10,5,15,5,0.25,0.5,0.3333333333333333
8,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,1,0,10,1,0,9,1.0,0.1,0.18181818181818182
9,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
10,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
11,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,17,7,10,10,7,0,0.5882352941176471,1.0,0.7407407407407407
12,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,8,0,10,8,0,2,1.0,0.8,0.888888888888889
13,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,1,0,10,1,0,9,1.0,0.1,0.18181818181818182
14,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
15,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
16,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
17,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
18,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,4,0,10,4,0,6,1.0,0.4,0.5714285714285715
19,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",0,7,0,10,7,0,3,1.0,0.7,0.8235294117647058
20,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,11,1,10,10,1,0,0.9090909090909091,1.0,0.9523809523809523
21,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,11,1,10,10,1,0,0.9090909090909091,1.0,0.9523809523809523
22,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
23,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,10,0,10,10,0,0,1.0,1.0,1.0
24,"Get the weather for the following cities and tabulate the results: new york city, denver, chicago, austin, seattle, boston, new orleans, las vegas, los angeles, miami",1,12,2,10,10,2,0,0.8333333333333334,1.0,0.9090909090909091
